noise_level,replicate,method,success,vmax,km,r2,vmax_relative_error,km_relative_error,reason
0.03,37,nonlinear,True,100.66284079817049,5.10485693677768,0.9987630604409193,0.006628407981704925,0.020971387355536032,
0.03,37,lineweaver_burk,True,99.66208549653341,4.922761812661964,0.9985941681853189,0.0033791450346659247,0.015447637467607222,
0.03,38,nonlinear,True,98.35156968688901,4.87027751889519,0.9979374671011065,0.016484303131109924,0.025944496220962066,
0.03,38,lineweaver_burk,True,98.79053555952814,4.940370204052459,0.9979079088793402,0.012094644404718621,0.011925959189508183,
0.03,39,nonlinear,True,100.7014171832506,5.216155602022452,0.989820700714917,0.0070141718325059796,0.0432311204044904,
0.03,39,lineweaver_burk,True,105.09612020348146,5.386387798073173,0.9847209989131757,0.05096120203481462,0.07727755961463459,
0.03,40,nonlinear,True,100.63111506797877,4.970542439586215,0.997784303702375,0.006311150679787687,0.005891512082756911,
0.03,40,lineweaver_burk,True,98.82522584168848,4.818571713186222,0.9972360702999327,0.011747741583115215,0.036285657362755686,
0.03,41,nonlinear,True,99.10027175406178,4.906844704960146,0.9990010088174684,0.008997282459382205,0.01863105900797084,
0.03,41,lineweaver_burk,True,95.58627236981734,4.570669779783257,0.9969912223281684,0.04413727630182663,0.08586604404334856,
0.03,42,nonlinear,True,101.30821819217694,5.437751840719543,0.9975794145642151,0.013082181921769376,0.08755036814390867,
0.03,42,lineweaver_burk,True,94.99153634938452,4.649403549737644,0.9923296233534831,0.05008463650615482,0.07011929005247115,
0.03,43,nonlinear,True,99.7569985571358,5.162270932911291,0.9974161455672467,0.0024300144286419825,0.03245418658225816,
0.03,43,lineweaver_burk,True,96.79742159079215,4.862534170563152,0.9960962160630432,0.03202578409207845,0.027493165887369563,
0.03,44,nonlinear,True,100.0481384545172,5.0350755743694995,0.998447615857117,0.0004813845451720056,0.007015114873899897,
0.03,44,lineweaver_burk,True,99.43471135999121,4.838226290928731,0.9981758625556365,0.00565288640008788,0.032354741814253886,
0.03,45,nonlinear,True,102.65244609426315,4.942936262217622,0.9973902569372092,0.02652446094263155,0.011412747556475544,
0.03,45,lineweaver_burk,True,100.41484433766685,4.9074690745610745,0.9957652713776728,0.004148443376668496,0.0185061850877851,
0.03,46,nonlinear,True,100.48579826028751,5.202618386925219,0.9923292306956615,0.004857982602875097,0.04052367738504383,
0.03,46,lineweaver_burk,True,98.75054192350262,4.972201271595832,0.9919472255625414,0.012494580764973761,0.005559745680833572,
0.03,47,nonlinear,True,100.39454637538554,5.320093608498887,0.9953590545710135,0.003945463753855449,0.06401872169977736,
0.03,47,lineweaver_burk,True,96.49531507313962,4.786710658742407,0.9933807185790262,0.035046849268603776,0.04265786825151867,
0.03,48,nonlinear,True,102.97773962064817,5.218650773922024,0.996976812404344,0.029777396206481656,0.043730154784404715,
0.03,48,lineweaver_burk,True,104.46063310232364,5.333383600923214,0.9966167690731925,0.044606331023236405,0.06667672018464277,
0.03,49,nonlinear,True,97.26761037168423,4.601339768056693,0.9977641134377276,0.027323896283157723,0.07973204638866135,
0.03,49,lineweaver_burk,True,103.30943653668434,5.263635585860652,0.9923128491627585,0.033094365366843445,0.05272711717213045,
0.1,0,nonlinear,True,101.93232939899083,5.033359725078794,0.9862775086595038,0.019323293989908306,0.006671945015758851,
0.1,0,lineweaver_burk,True,109.41238147466076,6.168575749363108,0.9799257828628656,0.09412381474660762,0.23371514987262162,
0.1,1,nonlinear,True,90.70988131537075,4.446743895118134,0.9658140802634523,0.09290118684629249,0.11065122097637321,
0.1,1,lineweaver_burk,True,105.56458066935163,5.736865554907159,0.9226213538718959,0.05564580669351628,0.14737311098143185,
0.1,2,nonlinear,True,109.47542656920174,5.82464540627077,0.976957588337228,0.09475426569201745,0.16492908125415404,
0.1,2,lineweaver_burk,True,103.77180839913814,5.0135924177154685,0.9736651395402818,0.03771808399138138,0.002718483543093697,
0.1,3,nonlinear,True,98.66027764678945,5.079392352783125,0.9637133167160961,0.01339722353210547,0.015878470556624967,
0.1,3,lineweaver_burk,True,83.09320659723832,3.7552474925077,0.9188914958093775,0.16906793402761677,0.24895050149845996,
0.1,4,nonlinear,True,99.45249720389288,5.15573432044214,0.9438384395983636,0.005475027961071248,0.03114686408842804,
